"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","04-Oct-2017","       1264.30","       1264.00","       1291.80","       1256.25","       1287.00","       1288.75","       1279.51","    1178243","          1507571813.20","      31204","     645967","         54.82"
"M&amp;M","EQ","05-Oct-2017","       1288.75","       1310.00","       1316.00","       1293.00","       1297.00","       1300.75","       1308.66","    2106398","          2756568497.30","      64582","    1142718","         54.25"
"M&amp;M","EQ","06-Oct-2017","       1300.75","       1309.90","       1321.20","       1299.25","       1300.00","       1303.00","       1309.88","     912947","          1195848898.20","      22186","     491559","         53.84"
"M&amp;M","EQ","09-Oct-2017","       1303.00","       1301.05","       1312.90","       1299.00","       1304.90","       1304.85","       1305.55","     417682","           545303236.60","      15609","     242162","         57.98"
"M&amp;M","EQ","10-Oct-2017","       1304.85","       1318.00","       1319.00","       1301.15","       1304.90","       1305.10","       1309.48","     693721","           908416952.80","      39154","     425714","         61.37"
"M&amp;M","EQ","11-Oct-2017","       1305.10","       1309.00","       1330.25","       1306.00","       1316.00","       1319.45","       1322.88","    1642780","          2173200984.30","      45357","    1219364","         74.23"
"M&amp;M","EQ","12-Oct-2017","       1319.45","       1320.25","       1341.60","       1314.15","       1337.45","       1338.15","       1335.27","     824166","          1100481711.75","      17354","     510851","         61.98"
"M&amp;M","EQ","13-Oct-2017","       1338.15","       1338.00","       1345.65","       1323.00","       1325.00","       1325.30","       1331.48","     541640","           721181506.40","      15670","     342186","         63.18"
"M&amp;M","EQ","16-Oct-2017","       1325.30","       1338.90","       1375.90","       1330.30","       1367.00","       1368.60","       1361.86","    1170290","          1593768963.15","      37450","     606621","         51.84"
"M&amp;M","EQ","17-Oct-2017","       1368.60","       1373.90","       1375.50","       1343.50","       1371.30","       1373.35","       1367.16","    1023744","          1399623193.85","      49939","     643721","         62.88"
"M&amp;M","EQ","18-Oct-2017","       1373.35","       1372.00","       1378.50","       1362.20","       1364.00","       1370.55","       1373.41","     598422","           821878512.35","      24670","     328139","         54.83"
"M&amp;M","EQ","19-Oct-2017","       1370.55","       1366.75","       1379.00","       1360.10","       1376.80","       1375.75","       1374.62","     175195","           240826138.35","       4034","      91902","         52.46"
"M&amp;M","EQ","23-Oct-2017","       1375.75","       1380.00","       1393.95","       1346.60","       1362.00","       1367.05","       1368.16","     599664","           820436014.50","      28670","     227193","         37.89"
"M&amp;M","EQ","24-Oct-2017","       1367.05","       1360.55","       1365.90","       1346.95","       1354.00","       1350.65","       1354.56","     390953","           529571164.60","      29196","     214487","         54.86"
"M&amp;M","EQ","25-Oct-2017","       1350.65","       1354.00","       1373.60","       1348.95","       1371.80","       1364.70","       1362.15","     664152","           904677786.45","      36269","     445599","         67.09"
"M&amp;M","EQ","26-Oct-2017","       1364.70","       1374.45","       1380.70","       1364.50","       1373.50","       1372.95","       1373.94","    1652089","          2269863674.95","      69948","    1296615","         78.48"
"M&amp;M","EQ","27-Oct-2017","       1372.95","       1372.95","       1390.70","       1371.55","       1380.75","       1387.70","       1383.54","     774542","          1071608867.70","      32137","     472146","         60.96"
"M&amp;M","EQ","30-Oct-2017","       1387.70","       1388.00","       1392.65","       1370.05","       1372.10","       1374.75","       1379.19","     563034","           776528433.55","      28872","     367173","         65.21"
"M&amp;M","EQ","31-Oct-2017","       1374.75","       1378.00","       1378.00","       1342.10","       1346.00","       1344.80","       1352.32","     799728","          1081488266.75","      37278","     521272","         65.18"
"M&amp;M","EQ","01-Nov-2017","       1344.80","       1347.25","       1363.20","       1336.00","       1352.80","       1350.75","       1349.99","    1965358","          2653212399.35","      59092","    1330675","         67.71"
"M&amp;M","EQ","02-Nov-2017","       1350.75","       1343.00","       1349.40","       1331.05","       1336.00","       1335.35","       1335.93","     870329","          1162695211.20","      24893","     674288","         77.48"
"M&amp;M","EQ","03-Nov-2017","       1335.35","       1339.00","       1342.95","       1320.10","       1332.20","       1330.75","       1329.04","    1084381","          1441184912.90","      25495","     769630","         70.97"
